"","ID","B_cells_naive_CIBERSORT","B_cells_memory_CIBERSORT","Plasma_cells_CIBERSORT","T_cells_CD8_CIBERSORT","T_cells_CD4_naive_CIBERSORT","T_cells_CD4_memory_resting_CIBERSORT","T_cells_CD4_memory_activated_CIBERSORT","T_cells_follicular_helper_CIBERSORT","T_cells_regulatory_(Tregs)_CIBERSORT","T_cells_gamma_delta_CIBERSORT","NK_cells_resting_CIBERSORT","NK_cells_activated_CIBERSORT","Monocytes_CIBERSORT","Macrophages_M0_CIBERSORT","Macrophages_M1_CIBERSORT","Macrophages_M2_CIBERSORT","Dendritic_cells_resting_CIBERSORT","Dendritic_cells_activated_CIBERSORT","Mast_cells_resting_CIBERSORT","Mast_cells_activated_CIBERSORT","Eosinophils_CIBERSORT","Neutrophils_CIBERSORT","P-value_CIBERSORT","Correlation_CIBERSORT","RMSE_CIBERSORT"
"43","TCGA-OR-A5JE-01A",0.00137760340777302,0,0,0.0238887443439104,0,0.0579889864844629,0,0.0180403353078413,0.0285920122093375,0,7.53425380004274e-05,0.0249863743893836,0.0918923100175867,0,0,0.288898757822903,0,0.253718002014077,0,0.116506226704679,0.0940353047600448,0,0.19,0.041802552894797,1.08119779088565
"44","TCGA-OR-A5JR-01A",0.00112114701014951,0,0.000676596799918879,0.111365032447337,0,0.333592593553132,0,0,0.00270002158306783,0,0,0.114646933011107,0.128079865539007,0,0.0163798510881123,0.236433583663887,0,0.0106727343704774,0.0443316409338033,0,0,0,0.175,0.0473354786554918,1.07989465777807
"45","TCGA-OR-A5JB-01A",0,0,0.00167173125176121,0.270313729732239,0,0.00280371512271755,0.022012093382846,0.066469223492082,0.0201504070346961,0,0.070538225809468,0.0177385956275723,0.0360340959536816,0.0871055178301194,0.241656315793482,0.158855616005113,0.000420530666323801,0,0,0.000706146103675165,0,0.00352405619422217,0,0.404601732460445,0.924840795199297
"46","TCGA-OR-A5K4-01A",0,0,0.00847345485482071,0.0865066977625361,0.00996097111372828,0.273756069454954,0,0,0,0,0.0612669872223658,0.0522219608709254,0.0316974643832505,0.0247916961203557,0.0680115393691914,0.225457583293501,0,0.0826116278597685,0.0752439476946018,0,0,0,0.285,0.0264388629705805,1.07814514806312
"47","TCGA-OR-A5JC-01A",0,0.00876972522771596,0.00262441843440049,0.0627458360280728,0,0.146288229178914,0,0,0,0,0.0159652821782254,0.055080486484969,0.0841773121908362,0,0.0943351066873206,0.405760196703438,0.000715394390704693,0.0359952114329906,0.0875428010624122,0,0,0,0.335,0.0191906860770715,1.08176995942762
"48","TCGA-OR-A5JS-01A",0.042457929639441,0,0.0323891537457842,0.129797570159358,0,0.265287639199467,0,0,0,0,0,0.0616221671740289,0.0517861060552007,0.027397740590988,0,0.095986901258469,0,0.156025312363224,0,0.103556952288191,0.0336925275258487,0,0.52,0.0036671997700866,1.08796137534056
"49","TCGA-OR-A5LS-01A",0.0388946550935312,0,0.0153905848465982,0,0.233005762373926,0.117632108713748,0,0,0,0,0.0371030927515876,0,0.0173917291766394,0,0.00560526571250859,0.324516721034022,0,0.098689682332209,0.0956043991380131,0,0.0161659988272172,0,0.595,-0.00475485812424757,1.07830367728189
"50","TCGA-OR-A5KV-01A",0.0419272713805836,0,0.00152803022682101,0.316518078680377,0,0.0947974517802177,0,0.000731733840564826,0,0,0,0.0708250179152659,0.070652851990277,0.114790897908372,0.0113986789655499,0.204366706544814,0,0.0598301163312964,0,0,0.0126331644358608,0,0.645,-0.0103179843298256,1.10351869575087
"51","TCGA-OR-A5JJ-01A",0.161090622237015,0,0.121830701469747,0.235107252988661,0,0.10970017701452,0,0.0733857143164151,0.0195898408961643,0,0,0.0388812720529333,0.00665328773277078,0.0667249022091095,0.0409819150393207,0.0872283310206699,0,0.0271608461458817,0.00777791683637881,0,0.00388722004041263,0,0,0.326083774153716,0.958305708201332
"52","TCGA-OR-A5JF-01A",0,0.00685893753910403,0.0148700699889818,0.0864471493346781,0.0183511640842417,0.245847547236101,0,0,0,0,0,0.0679427134433174,0.0314491002820952,0.103472170693166,0.00610995957854724,0.237359468955314,0,0.153217292503064,0,0.0205774567494253,0.00749696961196527,0,0.35,0.0174346169353135,1.08394688058624
"53","TCGA-P6-A5OG-01A",0.0175602465308466,0,0.00207379684087323,0.171729591787769,0,0,0.0167095826786608,0.0403146227581749,0.0145482961868109,0,0.0102106078852907,0.0261940636999645,0,0.296193351764441,0.0451619082312235,0.268675472936066,0,0,0,0,0,0.0906284586998791,0.01,0.183149725888795,1.03255668080946
"54","TCGA-PA-A5YG-01A",0.0192554351051895,0,0,0.127370614601963,0,0.208389689711699,0,0,0,0.0362094877886927,0,0.088119603792845,0.0599240397165589,0,0.00941014534962776,0.265658263199955,0,0.0215509468596265,0.164111773873844,0,0,0,0.01,0.185446353793514,1.01121224291918
"55","TCGA-OR-A5KZ-01A",0.0160682128241273,0,0.010093860218174,0.15165353864471,0,0,0.0217823361505181,0.00677360017026737,0.0678733193373192,0,0.136063062356577,0,0.0205538296592394,0.376182159927652,0.0337163735503192,0.0845924132016008,0.0348105428243779,0,0.039836751135117,0,0,0,0,0.38005617224812,0.930708061719335
